date,Year,TotalFlu
10/3/2010,2010,37
10/10/2010,2010,47
10/17/2010,2010,53
10/24/2010,2010,53
10/31/2010,2010,80
11/7/2010,2010,78
11/14/2010,2010,79
11/21/2010,2010,58
11/28/2010,2010,244
12/5/2010,2010,303
12/12/2010,2010,357
12/19/2010,2010,388
12/26/2010,2010,349
1/2/2011,2011,352
1/9/2011,2011,383
1/16/2011,2011,356
1/23/2011,2011,437
1/30/2011,2011,528
2/6/2011,2011,572
2/13/2011,2011,537
2/20/2011,2011,420
2/27/2011,2011,328
3/6/2011,2011,313
3/13/2011,2011,339
3/20/2011,2011,254
3/27/2011,2011,242
4/3/2011,2011,251
4/10/2011,2011,236
4/17/2011,2011,197
4/24/2011,2011,123
5/1/2011,2011,153
5/8/2011,2011,164
5/15/2011,2011,57
5/22/2011,2011,99
5/29/2011,2011,88
6/5/2011,2011,8
6/12/2011,2011,5
6/19/2011,2011,7
6/26/2011,2011,7
7/3/2011,2011,2
7/10/2011,2011,3
7/17/2011,2011,7
7/24/2011,2011,7
7/31/2011,2011,8
8/7/2011,2011,6
8/14/2011,2011,7
8/21/2011,2011,6
8/28/2011,2011,10
9/4/2011,2011,8
9/11/2011,2011,9
9/18/2011,2011,22
9/25/2011,2011,24
10/2/2011,2011,79
10/9/2011,2011,81
10/16/2011,2011,62
10/23/2011,2011,59
10/30/2011,2011,83
11/6/2011,2011,62
11/13/2011,2011,63
11/20/2011,2011,36
11/27/2011,2011,87
12/4/2011,2011,101
12/11/2011,2011,82
12/18/2011,2011,57
12/25/2011,2011,36
1/1/2012,2012,72
1/8/2012,2012,84
1/15/2012,2012,80
1/22/2012,2012,69
1/29/2012,2012,88
2/5/2012,2012,72
2/12/2012,2012,81
2/19/2012,2012,124
2/26/2012,2012,109
3/4/2012,2012,102
3/11/2012,2012,127
3/18/2012,2012,86
3/25/2012,2012,78
4/1/2012,2012,95
4/8/2012,2012,88
4/15/2012,2012,88
4/22/2012,2012,82
4/29/2012,2012,47
5/6/2012,2012,52
5/13/2012,2012,46
5/20/2012,2012,34
5/27/2012,2012,24
6/3/2012,2012,18
6/10/2012,2012,9
6/17/2012,2012,13
6/24/2012,2012,8
7/1/2012,2012,13
7/8/2012,2012,8
7/15/2012,2012,7
7/22/2012,2012,5
7/29/2012,2012,9
8/5/2012,2012,5
8/12/2012,2012,7
8/19/2012,2012,4
8/26/2012,2012,7
9/2/2012,2012,8
9/9/2012,2012,15
9/16/2012,2012,9
9/23/2012,2012,24
9/30/2012,2012,48
10/7/2012,2012,94
10/14/2012,2012,156
10/21/2012,2012,124
10/28/2012,2012,84
11/4/2012,2012,138
11/11/2012,2012,171
11/18/2012,2012,176
11/25/2012,2012,260
12/2/2012,2012,380
12/9/2012,2012,506
12/16/2012,2012,562
12/23/2012,2012,475
12/30/2012,2013,397
1/6/2013,2013,627
1/13/2013,2013,647
1/20/2013,2013,621
1/27/2013,2013,468
2/3/2013,2013,419
2/10/2013,2013,540
2/17/2013,2013,551
2/24/2013,2013,434
3/3/2013,2013,369
3/10/2013,2013,378
3/17/2013,2013,289
3/24/2013,2013,179
3/31/2013,2013,173
4/7/2013,2013,162
4/14/2013,2013,183
4/21/2013,2013,146
4/28/2013,2013,115
5/5/2013,2013,100
5/12/2013,2013,84
5/19/2013,2013,62
5/26/2013,2013,88
6/2/2013,2013,76
6/9/2013,2013,68
6/16/2013,2013,46
6/23/2013,2013,53
6/30/2013,2013,45
7/7/2013,2013,48
7/14/2013,2013,40
7/21/2013,2013,56
7/28/2013,2013,30
8/4/2013,2013,40
8/11/2013,2013,27
8/18/2013,2013,34
8/25/2013,2013,33
9/1/2013,2013,26
9/8/2013,2013,30
9/15/2013,2013,29
9/22/2013,2013,24
9/29/2013,2013,88
10/6/2013,2013,81
10/13/2013,2013,85
10/20/2013,2013,118
10/27/2013,2013,112
11/3/2013,2013,138
11/10/2013,2013,130
11/17/2013,2013,142
11/24/2013,2013,118
12/1/2013,2013,173
12/8/2013,2013,174
12/15/2013,2013,193
12/22/2013,2013,259
12/29/2013,2014,258
1/5/2014,2014,278
1/12/2014,2014,450
1/19/2014,2014,459
1/26/2014,2014,574
2/2/2014,2014,586
2/9/2014,2014,449
2/16/2014,2014,304
2/23/2014,2014,271
3/2/2014,2014,296
3/9/2014,2014,277
3/16/2014,2014,338
3/23/2014,2014,471
3/30/2014,2014,460
4/6/2014,2014,501
4/13/2014,2014,321
4/20/2014,2014,232
4/27/2014,2014,253
5/4/2014,2014,216
5/11/2014,2014,201
5/18/2014,2014,148
5/25/2014,2014,90
6/1/2014,2014,116
6/8/2014,2014,144
6/15/2014,2014,126
6/22/2014,2014,96
6/29/2014,2014,90
7/6/2014,2014,69
7/13/2014,2014,84
7/20/2014,2014,69
7/27/2014,2014,83
8/3/2014,2014,60
8/10/2014,2014,58
8/17/2014,2014,50
8/24/2014,2014,66
8/31/2014,2014,36
9/7/2014,2014,91
9/14/2014,2014,126
9/21/2014,2014,108
9/28/2014,2014,124
10/5/2014,2014,110
10/12/2014,2014,138
10/19/2014,2014,160
10/26/2014,2014,178
11/2/2014,2014,210
11/9/2014,2014,191
11/16/2014,2014,259
11/23/2014,2014,218
11/30/2014,2014,259
12/7/2014,2014,267
12/14/2014,2014,398
12/21/2014,2014,592
12/28/2014,2014,418
1/4/2015,2015,370
1/11/2015,2015,526
1/18/2015,2015,635
1/25/2015,2015,744
2/1/2015,2015,700
2/8/2015,2015,666
2/15/2015,2015,403
2/22/2015,2015,305
3/1/2015,2015,278
3/8/2015,2015,191
3/15/2015,2015,226
3/22/2015,2015,237
3/29/2015,2015,244
4/5/2015,2015,199
4/12/2015,2015,184
4/19/2015,2015,150
4/26/2015,2015,155
5/3/2015,2015,185
5/10/2015,2015,113
5/17/2015,2015,101
5/24/2015,2015,93
5/31/2015,2015,107
6/7/2015,2015,73
6/14/2015,2015,26
6/21/2015,2015,49
6/28/2015,2015,60
7/5/2015,2015,71
7/12/2015,2015,69
7/19/2015,2015,50
7/26/2015,2015,71
8/2/2015,2015,81
8/9/2015,2015,80
8/16/2015,2015,52
8/23/2015,2015,88
8/30/2015,2015,50
9/6/2015,2015,41
9/13/2015,2015,84
9/20/2015,2015,71
9/27/2015,2015,23
10/4/2015,2015,70
10/11/2015,2015,62
10/18/2015,2015,115
10/25/2015,2015,107
11/1/2015,2015,89
11/8/2015,2015,97
11/15/2015,2015,159
11/22/2015,2015,78
11/29/2015,2015,141
12/6/2015,2015,178
12/13/2015,2015,129
12/20/2015,2015,126
12/27/2015,2015,99
1/3/2016,2016,92
1/10/2016,2016,205
1/17/2016,2016,155
1/24/2016,2016,167
1/31/2016,2016,191
2/7/2016,2016,273
2/14/2016,2016,172
2/21/2016,2016,288
2/28/2016,2016,357
3/6/2016,2016,366
3/13/2016,2016,346
3/20/2016,2016,278
3/27/2016,2016,113
4/3/2016,2016,97
4/10/2016,2016,118
4/17/2016,2016,79
4/24/2016,2016,68
5/1/2016,2016,55
5/8/2016,2016,31
5/15/2016,2016,23
5/22/2016,2016,8
5/29/2016,2016,0
6/5/2016,2016,0
6/12/2016,2016,2
6/19/2016,2016,1
6/26/2016,2016,1
7/3/2016,2016,0
7/10/2016,2016,2
7/17/2016,2016,0
7/24/2016,2016,0
7/31/2016,2016,2
8/7/2016,2016,0
8/14/2016,2016,3
8/21/2016,2016,1
8/28/2016,2016,0
9/4/2016,2016,3
9/11/2016,2016,9
9/18/2016,2016,2
9/25/2016,2016,8
10/2/2016,2016,115
10/9/2016,2016,141
10/16/2016,2016,175
10/23/2016,2016,146
10/30/2016,2016,148
11/6/2016,2016,194
11/13/2016,2016,182
11/20/2016,2016,194
11/27/2016,2016,261
12/4/2016,2016,223
12/11/2016,2016,208
12/18/2016,2016,389
12/25/2016,2016,537
1/1/2017,2017,584
1/8/2017,2017,736
1/15/2017,2017,913
1/22/2017,2017,1174
1/29/2017,2017,1431
2/5/2017,2017,1466
2/12/2017,2017,1153
2/19/2017,2017,811
2/26/2017,2017,407
3/5/2017,2017,419
3/12/2017,2017,383
3/19/2017,2017,505
3/26/2017,2017,568
4/2/2017,2017,584
4/9/2017,2017,343
4/16/2017,2017,209
4/23/2017,2017,217
4/30/2017,2017,221
5/7/2017,2017,163
5/14/2017,2017,154
5/21/2017,2017,143
5/28/2017,2017,101
6/4/2017,2017,106
6/11/2017,2017,104
6/18/2017,2017,100
6/25/2017,2017,83
7/2/2017,2017,74
7/9/2017,2017,59
7/16/2017,2017,74
7/23/2017,2017,66
7/30/2017,2017,67
8/6/2017,2017,71
8/13/2017,2017,74
8/20/2017,2017,86
8/27/2017,2017,83
9/3/2017,2017,79
9/10/2017,2017,88
9/17/2017,2017,102
9/24/2017,2017,122
10/1/2017,2017,147
10/8/2017,2017,133
10/15/2017,2017,187
10/22/2017,2017,198
10/29/2017,2017,204
11/5/2017,2017,232
11/12/2017,2017,239
11/19/2017,2017,195
11/26/2017,2017,277
12/3/2017,2017,334
12/10/2017,2017,349
12/17/2017,2017,445
12/24/2017,2017,366
12/31/2017,2018,340
1/7/2018,2018,648
1/14/2018,2018,842
1/21/2018,2018,1355
1/28/2018,2018,1674
2/4/2018,2018,1678
2/11/2018,2018,1588
2/18/2018,2018,875
2/25/2018,2018,576
3/4/2018,2018,402
3/11/2018,2018,345
3/18/2018,2018,249
3/25/2018,2018,275
4/1/2018,2018,212
4/8/2018,2018,240
4/15/2018,2018,237
4/22/2018,2018,177
4/29/2018,2018,232
5/6/2018,2018,165
5/13/2018,2018,131
5/20/2018,2018,99
5/27/2018,2018,99
6/3/2018,2018,2
6/10/2018,2018,3
6/17/2018,2018,0
6/24/2018,2018,1
7/1/2018,2018,10
7/8/2018,2018,0
7/15/2018,2018,0
7/22/2018,2018,1
7/29/2018,2018,1
8/5/2018,2018,0
8/12/2018,2018,0
8/19/2018,2018,0
8/26/2018,2018,0
9/2/2018,2018,2
9/9/2018,2018,8
9/16/2018,2018,11
9/23/2018,2018,26
9/30/2018,2018,623
10/7/2018,2018,661
10/14/2018,2018,706
10/21/2018,2018,700
10/28/2018,2018,786
11/4/2018,2018,710
11/11/2018,2018,659
11/18/2018,2018,742
11/25/2018,2018,828
12/2/2018,2018,892
12/9/2018,2018,1172
12/16/2018,2018,1427
12/23/2018,2018,1757
12/30/2018,2019,1727
1/6/2019,2019,1514
1/13/2019,2019,1820
1/20/2019,2019,2085
1/27/2019,2019,2158
2/3/2019,2019,2676
2/10/2019,2019,3024
2/17/2019,2019,2335
2/24/2019,2019,1979
3/3/2019,2019,2035
3/10/2019,2019,2105
3/17/2019,2019,2038
3/24/2019,2019,1751
3/31/2019,2019,1699
4/7/2019,2019,1301
4/14/2019,2019,1027
4/21/2019,2019,753
4/28/2019,2019,656
5/5/2019,2019,512
5/12/2019,2019,374
5/19/2019,2019,517
5/26/2019,2019,513
6/2/2019,2019,455
6/9/2019,2019,384
6/16/2019,2019,411
6/23/2019,2019,420
6/30/2019,2019,395
7/7/2019,2019,374
7/14/2019,2019,297
7/21/2019,2019,298
7/28/2019,2019,296
8/4/2019,2019,317
8/11/2019,2019,279
8/18/2019,2019,278
8/25/2019,2019,282
9/1/2019,2019,302
9/8/2019,2019,415
9/15/2019,2019,502
9/22/2019,2019,561
9/29/2019,2019,518
10/6/2019,2019,587
10/13/2019,2019,622
10/20/2019,2019,626
10/27/2019,2019,712
11/3/2019,2019,734
11/10/2019,2019,763
11/17/2019,2019,826
11/24/2019,2019,998
12/1/2019,2019,1025
12/8/2019,2019,1328
12/15/2019,2019,1898
12/22/2019,2019,2939
12/29/2019,2020,2986
1/5/2020,2020,1916
1/12/2020,2020,2824
1/19/2020,2020,3755
1/26/2020,2020,4361
2/2/2020,2020,4535
2/9/2020,2020,3631
2/16/2020,2020,2575
2/23/2020,2020,1925
3/1/2020,2020,1813
3/8/2020,2020,3199
3/15/2020,2020,3288
3/22/2020,2020,2894
3/29/2020,2020,2365
4/5/2020,2020,1452
4/12/2020,2020,946
4/19/2020,2020,583
4/26/2020,2020,393
5/3/2020,2020,305
5/10/2020,2020,257
5/17/2020,2020,244
5/24/2020,2020,189
5/31/2020,2020,162
6/7/2020,2020,161
6/14/2020,2020,190
6/21/2020,2020,165
6/28/2020,2020,193
7/5/2020,2020,222
7/12/2020,2020,233
7/19/2020,2020,237
7/26/2020,2020,232
8/2/2020,2020,224
8/9/2020,2020,228
8/16/2020,2020,329
